ReviewDate,B000GCNBLW - 4740 - Tampax Cardboard Applicator Ta,"B001LK6XHC - 615 - Tampax Pearl Plastic Tampons, ","B001LK6XI6 - 28310 - Tampax Pearl Plastic Tampons, ",B001UGOWT8 - 2994 - Playtex Gentle Glide Tampons w,"B0039NMCA6 - 3272 - Tampax Pearl Plastic Tampons, ",B003V08GMU - 2015 - Playtex Sport Unscented Tampon,B003VW895C - 829 - Playtex Sport Tampons with Fle,B004L5CW1U - 1923 - Tampax Pearl Unscented Super A,B004Q3SBYO - 2983 - Playtex Gentle Glide Tampons w,B004WPJBF4 - 2400 - Playtex Sport Tampons with Fle,B0061WH3GU - 2302 - ORGANYC Hypoallergenic 100% Or,B007O044XI - 3552 - Tampax Radiant Plastic Unscent,B008ZAH0GY - 2340 - Tampax Pearl Active Plastic Ta,B00DORL6LS - 12314 - Tampax Radiant Plastic Tampons,B00HT6E4SM - 6868 - Playtex Sport Fresh Balance Ta,B00HT6E522 - 1077 - Playtex Sport Tampons with Fle,B00NJNJCSQ - 2741 - o.b. Pro Comfort  Applicator F,B00NJNJGUA - 2622 - o.b. Applicator Free Digital T,B00UASJJY0 - 1399 - U by Kotex Click Compact Tampo,B00W5AY90K - 31606 - U By Kotex Click Tampons - 17 ,"B010OVKNYM - 2552 - U by Kotex Security Tampons, S"
2016-05,2.0,7.0,0.0,2.0,5.0,4.0,5.0,3.0,4.0,1.0,8.0,4.0,1.0,1.0,0.0,2.0,4.0,4.0,4.0,0.0,1.0
2016-06,2.0,4.0,1.0,2.0,3.0,0.0,5.0,6.0,1.0,2.0,10.0,4.0,2.0,0.0,0.0,2.0,3.0,9.0,2.0,0.0,1.0
2016-07,0.0,7.0,0.0,6.0,3.0,1.0,5.0,2.0,2.0,4.0,7.0,8.0,4.0,0.0,0.0,5.0,1.0,3.0,15.0,2.0,4.0
2016-08,0.0,10.0,2.0,4.0,0.0,1.0,5.0,5.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,4.0,0.0,4.0
2016-09,2.0,3.0,1.0,3.0,2.0,0.0,9.0,0.0,6.0,0.0,4.0,0.0,5.0,2.0,0.0,4.0,8.0,3.0,8.0,0.0,5.0
2016-10,4.0,4.0,2.0,8.0,4.0,2.0,4.0,3.0,2.0,0.0,8.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,9.0,0.0,4.0
2016-11,6.0,2.0,1.0,5.0,3.0,1.0,3.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0
2016-12,1.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,4.0,0.0,4.0
2017-01,3.0,6.0,2.0,5.0,3.0,1.0,4.0,3.0,2.0,0.0,6.0,0.0,1.0,1.0,2.0,6.0,4.0,2.0,7.0,0.0,8.0
2017-02,0.0,6.0,2.0,6.0,1.0,1.0,7.0,0.0,0.0,2.0,5.0,0.0,1.0,4.0,1.0,5.0,2.0,3.0,6.0,0.0,4.0
2017-03,3.0,10.0,2.0,2.0,3.0,1.0,4.0,6.0,3.0,0.0,5.0,0.0,2.0,1.0,0.0,7.0,5.0,5.0,7.0,0.0,3.0
2017-04,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0
